------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                                                                                                                                                                                                                                                                                                                  message                                                                                                                                                                                                                                                                                                                                                   |
|---------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1761238060286 | INIT_START Runtime Version: python:3.13.v64 Runtime Version ARN: arn:aws:lambda:eu-west-2::runtime:fe7a78198cc1037d599c8e576c9b94c4d6b88f8067b86f7d3481b75d9fd76c24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1761238060624 | [INFO] 2025-10-23T16:47:40.624Z  Found credentials in environment variables.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 1761238060807 | START RequestId: ccde5111-07ab-439c-8dc3-915b2ba4d85a Version: $LATEST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 1761238060808 | [INFO] 2025-10-23T16:47:40.808Z ccde5111-07ab-439c-8dc3-915b2ba4d85a Running cleanup for bucket=pratham-cleanup-s3-bucket; removing objects older than 2025-10-22T16:47:40.808069+00:00 (UTC)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 1761238061883 | [INFO] 2025-10-23T16:47:41.883Z ccde5111-07ab-439c-8dc3-915b2ba4d85a Cleanup finished. Total objects deleted: 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1761238061883 | [INFO] 2025-10-23T16:47:41.883Z ccde5111-07ab-439c-8dc3-915b2ba4d85a Deleted keys: ['Screenshot 2025-07-14 225850.png', 'DockerFile/docker-compose/docker-compose.yml', '2 - Prompt Engineering.pdf', 'Ragi chocalate cake (1).mp4', 'DockerFile/lab3/Dockerfile', 'Untitled design (2).mp4', 'DockerFile/docker-compose/app.py', 'Untitled design.mp4', 'Reel shared on Mar 6, 2025_qr.png', 'DockerFile/docker-compose/requirement.txt', 'Mango Suji cake.mp4', 'DockerFile/lab1/Dockerfile', 'Untitled design.png', 'DockerFile/lab2/app.py', 'DockerFile/lab3/default', 'DockerFile/lab1/quickstart.sh', 'DockerFile/lab3/index.html', '1 - Intro to GenAI & LLMs.pdf', 'DockerFile/lab2/Dockerfile']  |
| 1761238061905 | END RequestId: ccde5111-07ab-439c-8dc3-915b2ba4d85a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 1761238061905 | REPORT RequestId: ccde5111-07ab-439c-8dc3-915b2ba4d85a Duration: 1097.38 ms Billed Duration: 1615 ms Memory Size: 128 MB Max Memory Used: 90 MB Init Duration: 517.17 ms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
